title,city/area,block/sector,bedroom,bathroom,sqrtFeet,price
We Got A 2190 Sq Ft Flat For Rent In This Uttara-12 Area Which Is Very Affordable And..., Uttara,Sector 12,3,4,1550.0,13500000.0
"Great Location! Check Out This 2385 Sq Ft Flat For Rent In Sector 12, Uttara", Uttara,Sector 12,4,4,750.0,6200000.0
"2000 Sq Ft Modern Flat With Good Accommodations Is Up For Rent In Bashundhara R-a, Bl...", Bashundhara R-A,Block J,3,3,2343.0,22000000.0
Be The Dweller Of This Beautiful 1200 Sq Ft Residential Property Vacant For Rent At M..., Mohammadpur,PC Culture Housing,3,3,3355.0,39000000.0
A Convenient And Well-constructed 3100 Sq.ft Flat Is For Rent At Gulshan 1., Gulshan,Gulshan 1,3,4,1050.0,6200000.0
"1450 Sq Ft Apartment Is Ready For Rent In Aftab Nagar, Block F", Aftab Nagar,Block F,3,3,860.0,4900000.0
Best Location In Baridhara | Spacious And Bright 4 Bed Apt. | For Rent, Baridhara,Road No 4,4,4,1230.0,7400000.0
Elegant 4-bedroom 4000 Sq Ft Apartment For Rent In Baridhara, Baridhara,Road No 4,4,4,1250.0,7800000.0
Grab This Lovely Flat Of 1168 Sq Ft Is Up For Sale In West Agargaon Before It&amp;#03..., Agargaon,West Agargaon,3,2,1320.0,9130000.0
1750 Square Feet Flat Is Ready For Rent In Uttara 9, Uttara,Sector 9,3,3,1390.0,22500000.0
Prominent 2800 Square Feet Semi-furnished Apartment For Rent In Banani, Banani,Road No 20,4,4,2644.0,35000000.0
Pursue This 1654 Sq Ft Apartment For Rent In Uttara-18, Uttara,Sector 18,3,4,1383.0,10800000.0
Fairly Large Apartment Of 2300 Sq Ft Is Ready For Rent In Gulshan 2, Gulshan,Gulshan 2,3,3,1593.0,21500000.0
A Nice Soundless Apartment For Rent In Mohammadi Housing Ltd., Mohammadpur,Mohammadi Housing LTD.,3,4,2000.0,22000000.0
"Take This Nice 1200 Sq Ft Full Furnished Apartment In Bashundhara R-a, To Fulfill You...", Bashundhara R-A,Block D,2,2,1550.0,17000000.0
"Reasonable 1508 Sq Ft Flat Is Available For Rent In Bashundhara R-a, Block H", Bashundhara R-A,Block H,3,3,2000.0,20000000.0
Luxurious Living in Baridhara | Spacious 4-Bedroom Apartment for Rent, Baridhara,Road No 4,4,4,2200.0,16500000.0
This 1600 Sq Ft Well Defined Flat Is Now Vacant To Rent In Baitul Aman Housing Societ..., Adabor,Baitul Aman Housing Society,3,4,1400.0,6300000.0
A Very Well-fitted Apartment Is Here Sited At Aftab Nagar Featuring 1250 Sq Ft Space ..., Aftab Nagar,Block B,3,3,1235.0,11800000.0
"Make this 1350 SQ FT home your next residing location, which is up to Rent in West Ag...", Agargaon,West Agargaon,3,3,1100.0,4500000.0
You Will Be Thankful For The Peaceful Atmosphere This Flat Of 2270 Sq Ft Is Going To ..., Bashundhara R-A,Block D,3,4,1553.0,16500000.0
1200 Sq Ft Apartment Is For Rent In Mirpur-1, Mirpur,Section 1,3,3,750.0,5200000.0
A Relaxing 750 Sq Ft Residential Property Is Up For Rent At Nikunja 2, Nikunja,Nikunja 2,2,2,990.0,4800000.0
Visit This 700 Sq Ft Rentable Property To Make It Your New Home In West Kafrul, Taltola,West Kafrul,2,2,600.0,3000000.0
Deal With This 1690 Sq Ft Flat For Rent In Tejgaon, Tejgaon,Tejkunipara,3,3,1050.0,4800000.0
"In Block E, Section 1, Mirpur With Satisfactory Price, A Flat Of 500 Sq Ft Is For Ren...", Mirpur,Section 1,2,1,600.0,2600000.0
"Find 1400 Sq Ft Flat Available To Rent In Shahjadpur, Badda", Badda,Shahjadpur,3,3,1560.0,14000000.0
"4000 Sq Ft Spacious Apartment For Rent In Baridhara, Block K", Baridhara,Block K,4,4,1250.0,6500000.0
4350 Square Feet Full Furnished Apartment For Rent In Gulshan 1, Gulshan,Gulshan 1,4,4,1100.0,4500000.0
1750 Sq Ft Flat With 3 Bedrooms For Rent In Uttara-10, Uttara,Sector 10,3,3,1511.0,19643000.0
1750 Sq Ft Flat For Rent In Uttara-10, Uttara,Sector 10,3,3,1650.0,14500000.0
"2800 Sq Ft Full Furnished Apartment With Standard And Modern Fittings, Is Up For Rent...", Gulshan,Gulshan 2,3,3,945.0,6500000.0
Beautiful Flat Of 1250 Sq Ft Is Vacant Right Now For Rental Purpose In Dakkhin Paikpa..., Mirpur,Dakkhin Paikpara,3,3,1250.0,8500000.0
A Modern Well-planned Flat Of 1250 Sq Ft Is Up For Rent Is Situated In Dakkhin Paikpa..., Mirpur,Dakkhin Paikpara,3,3,1280.0,7000000.0
A Beautifully Constructed Apartment Of 1755 Sq Ft Is Vacant Right Now For Rent In Blo..., Aftab Nagar,Block E,3,3,1245.0,7100000.0
"You’re At The Right Place When You’re Here – 1050 Sq Ft Flat For Rent In Block B, Ban...", Banasree,Block B,3,2,1000.0,7300000.0
Suitable 1580 Sq Ft Residential Apartment For Rent In Tejkunipara, Tejgaon,Tejkunipara,3,4,1720.0,14000000.0
Deal With This 1750 Sq Ft Flat For Rent In Uttara-10, Uttara,Sector 10,3,3,1245.0,7300000.0
1510 Sq Ft Flat With 3 Bedrooms For Rent In Bashundhara R-a, Bashundhara R-A,Block E,3,3,1000.0,4500000.0
A Wonderful 1480 Sq Ft Flat Is For Rent In Bashundhara R-a, Bashundhara R-A,Block E,3,3,800.0,6950000.0
"1100 Square Feet Perfect Apartment For Rent In Mohammadpur, Pc Culture Housing", Mohammadpur,PC Culture Housing,3,2,1320.0,10000000.0
Fabulous 3900 Sq Ft Ready Apartment For Rent In Gulshan 2, Gulshan,Gulshan 2,4,5,945.0,6200000.0
Checkout This 3900 Sq Ft Apartment For Rent In Gulshan 2, Gulshan,Gulshan 2,4,5,820.0,6000000.0
Elite 1600 Square Feet Residential Apartment For Rent In Gulshan, Gulshan,Gulshan 2,3,3,1800.0,38000000.0
Excellent Flat Of 3500 Sq Ft Is All Set For Rent In The Fine Location Of Gulshan 2, Gulshan,Gulshan 2,5,5,1125.0,9700000.0
"Looking For A Perfect Family Home To Rent In Banasree, Check This 1700 Sq Ft Well Fea...", Banasree,Block E,4,4,1510.0,8200000.0
1300 Sq Ft Great Flat With A Nice View Is For Rent In Baridhara Dohs, Baridhara DOHS,Road No 2,3,2,2100.0,14000000.0
"In The Nice Location Of South Pirerbag, An Apartments Of 1000 Sq Ft Is Available For ...", Mirpur,Pirerbag,2,2,2375.0,22000000.0
An Apartment Of 1550 Sq. Ft For Rent Is All Set For You To Settle In West Kafrul Clos..., Taltola,West Kafrul,3,4,850.0,6000000.0
Tastefully Designed This 2100 Sq. Ft Apartment Is Now Vacant For Rent In Gulshan 2, Gulshan,Gulshan 2,3,3,1100.0,5200000.0
Spectacular 2750 Sq Ft Apartment For Rent In Gulshan, Gulshan,Gulshan 2,4,4,1350.0,13000000.0
Remarkable 2750 Sq Ft Ready Apartment For Rent In Gulshan 2, Gulshan,Gulshan 2,4,4,1050.0,4500000.0
"Grab This 1600 Sq Ft Modern Flat To Rent In Bashundhara R-a, Block E", Bashundhara R-A,Block E,3,3,2150.0,23500000.0
Vibrant 3800 SFT Ready Apartment For Rent In Baridhara, Baridhara,Block K,4,5,1802.0,16000000.0
Worthy 1100 SQ FT Residential Apartment is ready to Rent at Ashkona, Dakshin Khan,Ashkona,3,2,1330.0,19000000.0
"Have A Look At This 1500 Sq Ft Property Which Is Up For Rent Located At Block E, Bash...", Bashundhara R-A,Block E,3,3,2004.0,17500000.0
"Plan To Move In This 1150 Sq Ft Flat Which Is For Rent In Block L, Bashundhara R/A", Bashundhara R-A,Block L,3,3,1913.0,19700000.0
"Reside Conveniently In This Well Constructed 1800 Sq Ft Flat For Rent In Sector 6, Ut...", Uttara,Sector 6,3,3,1575.0,12200000.0
For Rental Purpose 1500 Sq Ft Flat Is Now Up To Rent In Agargaon,,Agargaon,3,3,1517.0,11000000.0
"4 Bedroom Residential Apartment For Rent In Block D, Bashundhara R/A", Bashundhara R-A,Block D,4,4,1450.0,8600000.0
Have A Look At This 1000 Sq Ft Property Which Is Up For Rent Located At Middle Badda, Badda,Middle Badda,3,2,1890.0,20000000.0
"At Uttara 11, 1800 Square Feet Flat For Rent Close To Police Station", Uttara,Sector 11,3,4,1500.0,13500000.0
Spacious 2750 Square Feet Apartment For Rent In Gulshan 1, Gulshan,Gulshan 1,3,3,1485.0,13200000.0
"Plan To Move In This 1250 Sq Ft Flat Which Is For Rent In Block D, Bashundhara R-A", Bashundhara R-A,Block D,3,3,1485.0,13200000.0
A Fascinating 1560 Sq Ft 3- Bedroom Apartment For Rent In Bashundhara Block H, Bashundhara R-A,Block H,3,3,1440.0,13000000.0
For Rental Purpose 900 Sq Ft Home Is Now Up To Rent In Uttara, Uttara,Sector 11,2,2,900.0,7000000.0
"Live In Excellence – 3 Bedroom Flat For Rent In Block E, Aftabnagar", Aftab Nagar,Block E,3,3,1100.0,7900000.0
Unfurnished | Cozy Apartment | Best Layout, Bashundhara R-A,Block L,3,3,1400.0,6300000.0
1150 Sq Ft Flat For Rent In Bashundhara R-a, Bashundhara R-A,Block L,3,3,1160.0,8000000.0
"Vast 3500 Sq Ft Flat Available For Rent In Bashundhara R-a, Block C", Bashundhara R-A,Block C,4,4,1000.0,4500000.0
1500 SQ FT flat is now for Rent which is in Uttara near to Welfare Association, Uttara,Sector 10,3,3,1100.0,4500000.0
Get comfortable in a 1450 SQ FT flat for rent in Bashundhara R-A, Bashundhara R-A,Block K,3,3,1250.0,12500000.0
"Grab This 1600 Sq Ft Flat Available For Rent In Bashundhara R-a, Block H", Bashundhara R-A,Block H,3,3,1100.0,5500000.0
"2500 Sq Ft Flat For Rent In Bashundhara R-A, Block J", Bashundhara R-A,Block J,3,4,1100.0,5300000.0
Excellent Semi Furnished Flat Of 5000 Sq Ft Is All Set For Rent In The Fine Location ..., Gulshan,Gulshan 2,4,4,1595.0,11232000.0
"Nice And Cozy This 2440 Sq. Ft. Flat For Rent Is Located At Gulshan 1, Near To Intern...", Gulshan,Gulshan 1,4,4,2550.0,34000000.0
A 1500 Sq Ft -3 Bedroom Flat Is Ready For Rent At Uttara-3., Uttara,Sector 3,3,3,950.0,5200000.0
"2088 Square Feet Apartment Of Good Quality Is For Rent In Mohammadpur, Iqbal Road", Mohammadpur,Iqbal Road,3,3,800.0,4445000.0
Grab This 1400 Sq Ft Apartment For Rent In Banasree, Banasree,Block G,3,3,656.0,2500000.0
"View This 1876 Sq Ft Flat Ready For Rent In Hazaribag, Shahjahan Sir Road", Hazaribag,Shahjahan Sir Road,4,3,1970.0,21000000.0
"2100 Sq Ft Flat For Rent In Bashundhara R-a, Block D", Bashundhara R-A,Block D,4,4,1450.0,12000000.0
"Looking For A Perfect Family Home To Rent In Adabor, Check This 3 Bedroom Residence", Adabor,Baitul Aman Housing Society,3,3,1350.0,12000000.0
Get Ready For Your Countless Peaceful Days By Renting This 1700 Sq Ft Flat At West Dh..., Dhanmondi,West Dhanmondi,3,3,680.0,4000000.0
Suitable For Family Living A 1318 Sq Ft Flat Is Available For Rent In South Banasree ..., Banasree,South Banasree Project,3,3,1872.0,13500000.0
"Well-fitted Apartment Is Here Sited At Bashundhara Block F, Featuring 2300 Sq Ft Spac...", Bashundhara R-A,Block F,4,4,1695.0,16500000.0
"Smartly Priced 2500 Sq Ft Flat, That You Should Check In Bashundhara R-a", Bashundhara R-A,Block H,4,4,1300.0,10500000.0
"Pursue This 1100 Sq Ft Semi-furnished Flat To Rent In Bashundhara R-a, Block A", Bashundhara R-A,Block A,3,2,1309.0,12000000.0
Take A Look To An Impressive Semi Furnished Flat Of 4000 Sq Ft For Rent Located At Bl..., Baridhara,Block K,4,4,1225.0,8000000.0
A Budget Friendly Lovely Residence Is Now Up For Rent In North Pirerbag Which Is 1300..., Mirpur,Pirerbag,3,3,1120.0,7500000.0
"2200 Sq Ft Full Furnished Apartment Is Available For Rent In Bashundhara R-a, Block D", Bashundhara R-A,Block D,3,3,1000.0,4500000.0
This Vacant Apartment Of 1802 Sq Ft Situated In Banani Is Up For Rent, Banani,Road No 13A,3,3,1553.0,9200000.0
Wonderful Flat Of 3850 Sq Ft Is Available For Rent In Gulshan 2, Gulshan,Gulshan 2,4,4,925.0,6800000.0
We Got A 1250 Sq Ft Flat For Rent In This Mohammadpur Area Which Is Very Affordable A..., Mohammadpur,Nobodoy Housing Society,3,3,1200.0,6000000.0
"1300 Square Feet Apartment Is Ready For Rent In Mirpur, Ahmed Nagar", Mirpur,Ahmed Nagar,3,3,1200.0,8950000.0
"Get Ready To Rent This Ideally Maintained 1800 Sq Ft Apartment Located In Block A, Ba...", Bashundhara R-A,Block A,3,3,970.0,4800000.0
3500 Sq Ft Flat Is Now Vacant To Rent In Baridhara, Baridhara,Block K,4,4,1100.0,6400000.0
Rent This Nicely Built 1450 Sq Ft Flat Available In Bashundhara R-a, Bashundhara R-A,Block K,3,3,1045.0,11000000.0
1250 Sq Ft Flat With 3 Bedrooms Is For Rent In Badda, Badda,Uttar Badda,3,2,1250.0,10800000.0
Ready To Rent | Well-maintained 1250 Sq ft Apartment In Badda, Badda,Uttar Badda,3,2,650.0,3200000.0
Prominent 2500 Square Feet Full Furnished Apartment For Rent In Gulshan 1, Gulshan,Gulshan 1,3,3,1015.0,6500000.0
1370 Sq Ft Brand New Flat For Rent In Mohammadpur, Mohammadpur,Mohammadia Housing Society,3,3,1850.0,16000000.0
Reside Conveniently In This Comfortable 3000 Sq.ft Flat For Rent At Baridhara - Block..., Baridhara,Block K,4,4,2105.0,19500000.0
"Baridhara Is Pleased To Offer You This Elegantly Designed 1700 Sq Ft Flat, For Rent", Baridhara,Block K,3,3,834.0,6800000.0
A very beautiful 1700 SQ FT residence is now available for rent in Baridhara, Baridhara,Block K,3,3,1250.0,5500000.0
Be the awaited occupant of 1700 SQ FT residential flat waiting to get rented at Barid..., Baridhara,Block K,3,3,955.0,5000000.0
Visit This Apartment For Rent In Uttara Near Uttara 11 Sector Park., Uttara,Sector 7,3,4,2140.0,16000000.0
Vibrant 5000 Sq Ft Semi Furnished Apartment For Rent In Baridhara, Baridhara,Block K,4,5,1410.0,7000000.0
Luxurious 5000 Sq Ft Ready Apartment For Rent In Baridhara, Baridhara,Block K,4,5,860.0,4500000.0
Budget-friendly 600 Sq Ft Residential Apartment For Rent In Sutrapur, Sutrapur,Luxmibazar,2,1,1254.0,5500000.0
Vast 5400 Sq Ft Ready Apartment For Rent In Gulshan 2, Gulshan,Gulshan 2,4,5,1350.0,7425000.0
5400 Sq Ft Apartment For Rent In Gulshan 2, Gulshan,Gulshan 2,4,5,1350.0,7425000.0
Offering You 1887 Sq Ft Apartment To Rent In Bashundhara R-A, Bashundhara R-A,Block A,3,4,1400.0,7000000.0
"1300 Square Feet Flat Is Up For Rent In Mohammadpur, Tajmahal Road", Mohammadpur,Tajmahal Road,3,3,1070.0,3800000.0
"Move In This 2800 Sq Ft Well Fitted Flat Which Is Located At Baridhara, For Rent", Baridhara,Block K,4,5,1250.0,9000000.0
Prominent 2800 Sq Ft Ready Apartment For Rent In Baridhara, Baridhara,Block K,3,3,780.0,3120000.0
Spacious 4300 Square Feet Residential Apartment For Rent In Gulshan 1, Gulshan,Gulshan 1,4,4,650.0,2200000.0
Adabor Is Offering You A 1500 Sq Ft Apartment For Rent, Adabor,Mansurabad Housing Society,3,3,650.0,2300000.0
A Perfect Flat Of 4200 Sq Ft For Living With Family Is Available For Rent At Banani D..., Banani DOHS,Road No 2,5,5,1703.0,8855600.0
A nicely constructed apartment of 1850 SQ FT can be found in Bashundhara R-A for rent, Bashundhara R-A,Block L,3,4,1050.0,5500000.0
1500 Sq Ft Lovely Flat For Rent In Baridhara Dohs, Baridhara DOHS,Road No 2,3,3,1332.0,5594400.0
Spacious Flat In A Serene Location | 1550 Sq Ft Home For Rent In Bashundhara R-a, Bashundhara R-A,Block H,3,3,1360.0,10000000.0
Spectacular 3500 Sq Ft Ready Apartment For Rent In Gulshan 2, Gulshan,Gulshan 2,4,4,1285.0,7788000.0
"1410 Sq Ft Nicely Planned Apartment Is Available For Rent In Shyamoli Housing, Mohamm...", Mohammadpur,Shekhertek,3,3,2350.0,50000000.0
Beautiful And Well-constructed 1145 Sq Ft Flat Is Ready To Rent At Mohammadpur, Mohammadpur,Mohammadi Housing LTD.,2,3,1300.0,5000000.0
4000 Sq Ft Ready Apartment For Rent In Baridhara, Baridhara,Block K,3,4,1485.0,8167000.0
"Close To Rajuk Uttara Model College, A 2900 Sq Ft Spacious Residential Apartment Is R...", Uttara,Sector 6,4,4,1390.0,7665000.0
"Checkout This Brand New Flat Of 2300 Sq Ft Up For Rent In Bashundhara R/a, Block D", Bashundhara R-A,Block D,4,4,1050.0,5500000.0
Pursue This 2300 Sq Ft Full Furnished Apartment For Rent In Baridhara, Baridhara,Block K,3,3,1451.0,7500000.0
Visit This 1500 Sq Ft Apartment For Rent In Uttara 14, Uttara,Sector 14,3,3,650.0,2700000.0
"In The Location Of Dhanmondi , 3-Bedroom Apartment Is Up To Rent", Dhanmondi,Road No 15A,3,3,1000.0,4500000.0
3600 Sq Ft Fabulous Apartment For Rent In Gulshan 2, Gulshan,Gulshan 2,4,4,1245.0,4500000.0
1200 Square Feet Apartment Is Up For Rent At Baitul Aman Housing Society Nearby Baitu..., Adabor,Baitul Aman Housing Society,3,3,1310.0,10000000.0
Create Your Home In A 1100 Sq Ft Apartment For Rent In Paikpara, Mirpur,Ahmed Nagar,3,3,1310.0,7205000.0
Comfortable And Well-designed Full Furnished Apartment Of 1950 Sq Ft In Uttara For Re..., Uttara,Sector 3,3,3,2100.0,23110000.0
To Get A Hassle Free Life You Can Take Rent This 2200 Sq Ft Flat In South Banasree Pr..., Banasree,South Banasree Project,4,3,800.0,4200000.0
"To Live A Secure Life You Can Take This 2300 Sq Ft Flat For Rent At West Rampura, Moh...", Rampura,West Rampura,5,5,1210.0,6000000.0
At Naya Paltan Nice Flat Up For Rent Near Islami Bank Specialized And General Hospita..., Motijheel,Naya Paltan,3,4,600.0,2600000.0
"Reside Conveniently In This Well Constructed 1250 Sq Ft Flat For Rent In Kallyanpur, ...", Mirpur,Kallyanpur,3,3,650.0,2600000.0
Get Ready To Rent This Admirably Managed 1500 Sq Ft Apartment Located In Pc Culture H..., Mohammadpur,PC Culture Housing,3,3,1100.0,5500000.0
"Let Us Show You This 4000 Sq Ft Apartment For Rent In Baridhara, Block K", Baridhara,Block K,4,4,2200.0,22000000.0
Modest 1250 Sq Ft Ready Apartment For Rent in Malibagh, Malibagh,Malibagh Chowdhury Para,3,3,1495.0,15750000.0
1250 Sq Ft Apartment For Rent In Malibagh With All Facilities, Malibagh,Malibagh Chowdhury Para,3,3,950.0,6000000.0
1250 Sq Ft Modern Apartment For Rent At Malibagh, Malibagh,Malibagh Chowdhury Para,3,3,1316.0,13500000.0
Vast 4300 Square Feet Apartment For Rent In Gulshan 1, Gulshan,Gulshan 1,4,4,1515.0,7800000.0
Spectacular 4300 Square Feet Apartment For Rent In Gulshan 1, Gulshan,Gulshan 1,4,4,1250.0,9500000.0
"When Location, And Convenience Is Your Priority This Rental Flat Of 4,300 Sq Ft Is Fo...", Gulshan,Gulshan 1,4,5,650.0,3000000.0
"An Apartment Is For Rent At Mirpur, Near Paikpara Central Jame Masjid", Mirpur,Middle Paikpara,3,3,1350.0,9500000.0
An Amazing 2700 Sq Ft Apartment Is For Rent In Gulshan 2, Gulshan,Gulshan 2,4,4,1125.0,4725000.0
Have A Look At This 850 Sq Ft Property Which Is Up For Rent Located At Pc Culture Hou..., Mohammadpur,PC Culture Housing,2,2,1350.0,9600000.0
"1600 Square Feet Apartment For Rent In Mohammadpur, Pc Culture Housing", Mohammadpur,PC Culture Housing,3,3,700.0,3500000.0
"Secure This 3000 Sq Ft Apartment For Rent In Baridhara, Block K", Baridhara,Block K,4,4,1240.0,8060000.0
Luxurious 4000 Sq Ft Ready Semi Furnished Apartment For Rent In Baridhara, Baridhara,Block K,4,4,1450.0,9425000.0
"Fully Furnished 3,600 Square Feet Apartment Ready For Rent In Baridhara", Baridhara,Block K,4,4,1356.0,7800000.0
2200 Sq Ft Apartment With 3 Bedrooms For Rent In Uttara-12, Uttara,Sector 12,3,4,2050.0,19500000.0
Extravagant 5000 Sq Ft Ready Semi Furnished Apartment For Rent In Gulshan 2, Gulshan,Gulshan 2,4,5,1400.0,7000000.0
Get Comfortable In A 1450 Sq Ft Nice Flat For Rent In Malibagh First Lane, Malibagh,Malibagh First Lane,3,3,1350.0,12000000.0
Remarkable Flat Of 3750 Sq Ft Is Up For Rent In Gulshan 2, Gulshan,Gulshan 2,4,4,1230.0,6400000.0
Amazing Flat Of 3750 Sq Ft Is Now Ready To Rent In Gulshan 2, Gulshan,Gulshan 2,4,4,1400.0,6500000.0
This Ready 2000 Square Feet Apartment Is Up For Rent At Uttara -6 ., Uttara,Sector 6,3,4,1611.0,15500000.0
Offering You Nice 1900 Sq Ft Apartment To Rent In Uttara, Uttara,Sector 10,3,4,1100.0,6050000.0
A Very Impressively Done 1700 Sq Ft Rental Residential Flat Is In The Center Of Barid..., Baridhara,Block K,3,3,1252.0,7000000.0
"Take Rent This 1500 Sq Ft Nice Flat For Living A Pleasant Life In Mazar Road, Mirpur", Mirpur,1st Colony,3,3,1050.0,5500000.0
2600 Sq Ft Spacious And Great Apartment For Rent In Mohakhali Dohs, Mohakhali DOHS,Road No 13,4,4,1276.0,4000000.0
"2088 Square Feet Apartment For Rent In The Great Location Of Mohammadpur, Iqbal Road", Mohammadpur,Iqbal Road,3,4,650.0,2100000.0
"Take This Nice 2150 Sq Ft Rental Apartment In Bashundhara R-A, Block C To Fulfill You...", Bashundhara R-A,Block C,3,3,650.0,2000000.0
"Notable 2,150 SFT Apartment for Rent in Bashundhara R-A", Bashundhara R-A,Block A,3,5,1000.0,4000000.0
"A Convenient 2450 Sq Ft Residential Flat Is Prepared To Be Rented At Sector 6, Uttara", Uttara,Sector 6,3,3,2900.0,35000000.0
"Available For Rental Purpose, This 1150 Sq Ft Apartment In Malibagh Chowdhury Para", Malibagh,Malibagh Chowdhury Para,3,2,2300.0,15000000.0
Comfortable And Nicely Planned Flat In Uttara For Rent Nearby Radical Hospitals, Uttara,Sector 5,3,4,2200.0,17500000.0
"Find Your Desired Home At This 3200 Sq Ft Well Featured Flat For Rent At Block K, Bar...", Baridhara,Block K,3,3,1360.0,13000000.0
Express Your Individuality At This 2200 Sq.ft Apartment Which Is Vacant For Rent In B..., Banasree,South Banasree Project,4,3,1860.0,12000000.0
4000 Sq.ft Spacious Apartment Is Up For Rent In Gulshan 2, Gulshan,Gulshan 2,4,4,1800.0,7500000.0
Near City Bank Flat For Rent In Gulshan-2, Gulshan,Gulshan 2,3,4,2500.0,22000000.0
"1510 Sq Ft Flat With 3 Bedrooms For Rent In Bashundhara R-a, Block E", Bashundhara R-A,Block E,3,3,1485.0,8167000.0
Deal With This 1510 Sq Ft Flat For Rent In Bashundhara R-a, Bashundhara R-A,Block E,3,3,1350.0,9450000.0
An Elite Apartment In Uttara Near First Security Islami Bank Is Up For Rent, Uttara,Sector 10,3,3,1250.0,11500000.0
Reside Conveniently In This Well-constructed 1200 Sq Ft Flat For Rent In Agargaon, Agargaon,Haji Goli,3,3,2230.0,21200000.0
"Stylish House For Rent In Bashundhara R-a Block D, Which Is Covering An Area Of 2580 ...", Bashundhara R-A,Block D,4,4,2100.0,15750000.0
See This 1400 Sq.ft Apartment Which Is Up For Rent In Uttara Near Nrb Commercial Bank..., Uttara,Sector 13,3,3,2100.0,15750000.0
We Have A Ready Flat For Rent In Baridhara Nearby Baridhara Jame Masjid, Baridhara,Road No 10,4,4,800.0,3200000.0
Decent 900 Sq Ft Residential Apartment For Rent In Mohammadpur, Mohammadpur,PC Culture Housing,3,2,1050.0,5500000.0
At Gulshan 2600 Square Feet Flat For Rent Close To City Bank, Gulshan,Gulshan 2,3,4,632.0,4424000.0
1800 Sq Ft Apartment For Rent Is Located On Gulshan Near To Dncc Market Mosque, Gulshan,Gulshan 1,3,3,1485.0,8167000.0
Choose Your Destination At 1400 Sq Ft Flat Which Is Available For Rent In Green Road ..., Kalabagan,Green Road,3,2,1700.0,7200000.0
1000 Sq Ft Residential Apartment Is Set For Rent At Mirpur Nearby Mirpur Shopping Cen..., Mirpur,West Shewrapara,2,2,1400.0,5680000.0
"1400 Square Feet Apartment For Rent In North Adabor, Mehedibag Housing Society", Adabor,North Adabor,3,3,1100.0,9500000.0
"Fully Furnished 3,600 Square Feet Apartment Ready For Rent In Baridhara", Baridhara,Block K,4,4,1580.0,10000000.0
Take A Look To An Impressive Semi Furnished Flat Of 4000 Sq Ft For Rent Located At Bl..., Baridhara,Block K,4,4,1550.0,9500000.0
A Very Impressively Done 1700 Sq Ft Rental Residential Flat Is In The Center Of Barid..., Baridhara,Block K,3,3,650.0,2300000.0
3500 Sq Ft Flat Is Now Vacant To Rent In Baridhara, Baridhara,Block K,4,4,900.0,4000000.0
"To Live A Secure Life You Can Take This 2300 Sq Ft Flat For Rent At West Rampura, Moh...", Rampura,West Rampura,5,5,1584.0,12000000.0
"Pursue This 1100 Sq Ft Semi-furnished Flat To Rent In Bashundhara R-a, Block A", Bashundhara R-A,Block A,3,2,650.0,3000000.0
Pursue This 2300 Sq Ft Full Furnished Apartment For Rent In Baridhara, Baridhara,Block K,3,3,1578.0,12000000.0
"Close To Rajuk Uttara Model College, A 2900 Sq Ft Spacious Residential Apartment Is R...", Uttara,Sector 6,4,4,1500.0,8800000.0
"2088 Square Feet Apartment For Rent In The Great Location Of Mohammadpur, Iqbal Road", Mohammadpur,Iqbal Road,3,4,2300.0,15000000.0
Near City Bank Flat For Rent In Gulshan-2, Gulshan,Gulshan 2,3,4,2200.0,20000000.0
Deal With This 1510 Sq Ft Flat For Rent In Bashundhara R-a, Bashundhara R-A,Block E,3,3,1000.0,7000000.0
"1510 Sq Ft Flat With 3 Bedrooms For Rent In Bashundhara R-a, Block E", Bashundhara R-A,Block E,3,3,1515.0,7500000.0
"Notable 2,150 SFT Apartment for Rent in Bashundhara R-A", Bashundhara R-A,Block A,3,5,1412.0,7000000.0
2200 Sq Ft Apartment With 3 Bedrooms For Rent In Uttara-12, Uttara,Sector 12,3,4,1300.0,5850000.0
Spectacular 3500 Sq Ft Ready Apartment For Rent In Gulshan 2, Gulshan,Gulshan 2,4,4,1300.0,5460000.0
"Checkout This Brand New Flat Of 2300 Sq Ft Up For Rent In Bashundhara R/a, Block D", Bashundhara R-A,Block D,4,4,1300.0,6850000.0
"Baridhara Is Pleased To Offer You This Elegantly Designed 1700 Sq Ft Flat, For Rent", Baridhara,Block K,3,3,850.0,5100000.0
Be the awaited occupant of 1700 SQ FT residential flat waiting to get rented at Barid..., Baridhara,Block K,3,3,650.0,2500000.0
A very beautiful 1700 SQ FT residence is now available for rent in Baridhara, Baridhara,Block K,3,3,1155.0,7430000.0
"Take This Nice 2150 Sq Ft Rental Apartment In Bashundhara R-A, Block C To Fulfill You...", Bashundhara R-A,Block C,3,3,1335.0,10000000.0
An Elite Apartment In Uttara Near First Security Islami Bank Is Up For Rent, Uttara,Sector 10,3,3,727.0,2908000.0
5400 Sq Ft Apartment For Rent In Gulshan 2, Gulshan,Gulshan 2,4,5,1000.0,6000000.0
Extravagant 5000 Sq Ft Ready Semi Furnished Apartment For Rent In Gulshan 2, Gulshan,Gulshan 2,4,5,1500.0,9500000.0
Vast 5400 Sq Ft Ready Apartment For Rent In Gulshan 2, Gulshan,Gulshan 2,4,5,909.0,4500000.0
View This 2373 Sq Ft Apartment For Rent In Uttara-12, Uttara,Sector 12,3,4,800.0,3700000.0
4000 Sq Ft Ready Apartment For Rent In Baridhara, Baridhara,Block K,3,4,1000.0,5100000.0
